code,name,id,level,parent.id,geometry.type,ward.parent.id,ward,subcounty.parent.id,subcounty,county.parent.id,county,mflcode,geometry.coordinates_1,geometry.coordinates_2
Keipsl19858,Makongeni Dispensary,WKleWs8EmCU,7,TPtKgyFcsc8,Point,yHQwLEALL35,Homa bay central ,gbepWpyaGdj,Homa Bay Town ,HfVjCurKxh2,Homa Bay ,19858,34.5,-0.53
19858,Makongeni Health Centre,cjhog1LGxy7,7,lY7h6oMz2hs,Point,yHQwLEALL35,Homa bay east ,gbepWpyaGdj,Homa Bay Town ,HfVjCurKxh2,Homa Bay ,19858,34.5,-0.53
1433,Makongeni Ward,vHByNaFEJTb,6,kcQYqBIyzT1,NA,kcQYqBIyzT1,Makongeni ,DW4iKNGrY42,Makadara ,HfVjCurKxh2,Nairobi ,1433,NULL,
Keipsl18681,Makongo Dispensary,uZEfx3vciNB,7,j5k5F4Gf8ms,Point,ECMG4qISgs1,Zombe/Mwitika ,zF5mSLNG4Cl,Kitui East ,HfVjCurKxh2,Kitui ,18681,38.39342,-1.4075
Keipsl17744,Makoror Dispensary,kWcEweqoqPs,7,kgRB5Peji2A,Point,fU8SMUV5vkh,Barwago ,q93HBF7r7P4,Wajir East ,HfVjCurKxh2,Wajir ,17744,40.0218,1.76169
Keipsl12456,Makueni Catholic Dispensary,KJl84dNtCVf,7,kEjsqROo8wW,Point,QYDvB0MDGwP,Wote ,M5TOiiYVWwN,Makueni ,HfVjCurKxh2,Makueni ,12456,37.62472,-1.8046
ke2easternmakueni,Makueni County,M5TOiiYVWwN,4,HfVjCurKxh2,Polygon,NA,NA,NA,NA,HfVjCurKxh2,Makueni ,ke2easternmakueni,37.4217,37.4293
Keipsl12457,Makueni District Hospital,i3hBhEQExg1,7,kEjsqROo8wW,Point,QYDvB0MDGwP,Wote ,M5TOiiYVWwN,Makueni ,HfVjCurKxh2,Makueni ,12457,37.62843,-1.78363
Keipsl20722,Makueni Prison,vz2EO6fSvjF,7,kEjsqROo8wW,Point,QYDvB0MDGwP,Wote ,M5TOiiYVWwN,Makueni ,HfVjCurKxh2,Makueni ,20722,37.61,-1.78943
NA,Makueni Sub County,QYDvB0MDGwP,5,M5TOiiYVWwN,MultiPolygon,NA,NA,M5TOiiYVWwN,Makueni ,HfVjCurKxh2,Makueni ,NA,37.4787,37.4648
Keipsl15991,Makunga Rhdc,COYRudkDeSW,7,qcQme2gf1py,Point,BqnXYzwnuNp,Malaha/Isongo/Makunga ,M0xXLu8QbHW,Mumias East ,HfVjCurKxh2,Kakamega ,15991,34.62,0.31
Keipsl15992,Makutano Dispensary,Uzmyc5WGDiw,7,joUAQd6Hi14,Point,x7pj22WoZjz,Soysambu/ Mitua ,A1gVLZ5bHiS,Tongaren ,HfVjCurKxh2,Bungoma ,15992,34.5435,0.605
Keipsl15117,Makutano Health Centre (Turkana West),LoOLEiR0dJo,7,SGFaIfQC0EK,Point,SXnlJiGRNA5,Nakalale ,Toe5zU8RLT5,Turkana North ,HfVjCurKxh2,Turkana ,15117,35.4116,3.66088
Keipsl16451,Makutano Medical,WrRajEuQy19,7,ing9wKUlNDC,Point,C5GeBsmS57I,Luanda Township ,hhmLIpoAvAg,Luanda ,HfVjCurKxh2,Vihiga ,16451,34.6043,0.04548
Keipsl16594,Makutano Medical Clinic/Lab,WzwHRKp0rQb,7,IrnDb1Tmzrb,Point,bo2ISXHa3NN,Municipality ,xy2ubunOGVi,Imenti North ,HfVjCurKxh2,Meru ,16594,37.64293,0.05656
